trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.35, 'e': 0.9662500000000002}",30,0,-169.37141470101113,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.35, 'e': 0.9620000000000002}",30,0,-83.10575967608813,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.35, 'e': 0.9575000000000002}",25,0,-126.54497190150003,"{0: 9, 1: 7, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.35, 'e': 0.9527500000000002}",30,19,-72.09757077540664,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.35, 'e': 0.9477500000000002}",20,0,-138.97322969857316,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.35, 'e': 0.9425000000000002}",25,0,-333.9211657882301,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 7}",0
21,False,"{'a': 0.35, 'e': 0.9370000000000003}",30,0,-135.95749125585962,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.35, 'e': 0.9312500000000002}",35,0,-146.14834644387045,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",0
23,False,"{'a': 0.35, 'e': 0.9252500000000002}",25,0,-57.37199211763733,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.35, 'e': 0.9190000000000003}",25,0,-159.7276650956894,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.35, 'e': 0.9125000000000003}",20,0,-123.08686702839786,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",1
26,False,"{'a': 0.35, 'e': 0.9057500000000003}",20,4,-45.606478063520576,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.35, 'e': 0.8987500000000003}",30,0,-174.52968138303248,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
28,False,"{'a': 0.35, 'e': 0.8915000000000003}",25,0,-197.25417755378425,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
29,False,"{'a': 0.35, 'e': 0.8840000000000003}",25,10,-89.09474800501394,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 1}",1
30,False,"{'a': 0.35, 'e': 0.8762500000000003}",20,0,-36.13133443890101,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.35, 'e': 0.8682500000000003}",25,0,-70.8081357099843,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.35, 'e': 0.8600000000000003}",20,0,-81.10792516602075,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.35, 'e': 0.8515000000000004}",20,13,-2.511346145707773,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.35, 'e': 0.8427500000000003}",20,0,-88.57466280238549,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.35, 'e': 0.8337500000000003}",30,13,-12.944483282291216,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.35, 'e': 0.8245000000000003}",20,0,-52.267250581772764,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.35, 'e': 0.8150000000000004}",35,0,-118.15504837365565,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
38,False,"{'a': 0.35, 'e': 0.8052500000000004}",25,0,-30.28560562023854,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.35, 'e': 0.7952500000000003}",25,1,-112.01008398299597,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
40,False,"{'a': 0.35, 'e': 0.7850000000000004}",20,0,-59.4313388921406,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
41,False,"{'a': 0.35, 'e': 0.7745000000000004}",20,11,-22.3710147046042,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.35, 'e': 0.7637500000000004}",25,5,-224.93717386974714,"{0: 7, 1: 2, 2: 5, 3: 3, 4: 3}",1
43,False,"{'a': 0.35, 'e': 0.7527500000000004}",20,0,-91.54289551500264,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.35, 'e': 0.7415000000000004}",25,0,-67.72319165606393,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.35, 'e': 0.7300000000000004}",30,11,-38.291306495544134,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.35, 'e': 0.7182500000000004}",20,12,-8.915525695502769,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.35, 'e': 0.7062500000000004}",25,20,10.426812679554708,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
